# Created: 2023-07-17T12:30:20.950563
# Policy: Age
# Input: test_data_updated.csv
# Maximum time: 10.0 year(s)
access_time,keep or delete,file_id
0001-01-01 00:00:00,D,3fa940f0-5002-4ebe-b39d-a32cac3494b4
0001-01-01 00:00:00,D,02c63daf-dd52-420f-8ca3-51aeb3bc2544
0001-01-01 00:00:00,D,3a3e34ef-f3d0-4aed-8c4e-a0532b95d155
0001-01-01 00:00:00,D,6187ac17-cabb-451c-a66f-77ca56d2f575
0001-01-01 00:00:00,D,56d1049e-520f-4a73-afa9-63839cd251e9
1972-05-05 09:13:55,D,01f0436e-75d8-46dc-955f-357c6e71fed8
1973-04-21 03:54:24,D,8755e215-a6f3-43a2-a14a-b8383ff645aa
1973-11-02 21:19:59,D,8820b8fe-aa8e-4d2b-8a64-b298131af3e8
1974-09-27 10:30:38,D,ba09f0d1-a98e-4ea8-bbb2-bba52c6f4e7a
1974-11-20 17:32:01,D,323fa7d5-04bf-40fd-85d4-9b0bbebfdca9
1976-02-05 11:26:20,D,07f672e3-91ca-4957-a077-acc90e986f0b
1976-08-13 08:30:22,D,5a15947b-f89e-4e4e-8b3c-ed518bb32c0e
1977-03-19 07:36:05,D,b385b0aa-f3bc-4466-afcc-4c756e5d63d1
1977-03-29 00:16:03,D,7a8bc4a1-35c4-49e1-96b5-db79ec671ca5
1977-05-09 00:49:23,D,c029beee-0a12-4bc6-93e2-530a2428b0d2
1977-09-19 21:20:50,D,7156fe9b-b1b1-44b2-a1db-77b9cb72beac
1979-03-28 07:52:28,D,184bdb87-acaa-4949-95a8-8d16c951e711
1979-09-04 20:48:41,D,95e9c47c-e7c3-4ff5-91c0-18e18a37ce79
1980-03-05 05:10:07,D,90547f0a-fb02-4385-bb78-435c77cef971
1980-05-01 13:16:21,D,7387dbe8-1817-4067-ba65-f63b255c310a
1980-07-29 08:49:23,D,84230b2c-bb8c-4225-912e-77bbaa4ea630
1980-08-29 16:56:10,D,59feb211-ab11-4fe6-b1ac-3cbe550122a3
1982-02-06 22:30:14,D,0428b37b-16fd-49ad-b209-4e9dd0e2172b
1982-02-28 22:45:07,D,8fab0bbc-fcc1-42ca-8e9b-a6d19ab125c3
1982-04-22 09:09:52,D,5e572f8d-2f2d-4d57-b059-bf46691a747a
1982-05-18 19:32:41,D,2555c3cf-157b-4ce0-a017-f9fa0ae03c19
